iter	Logloss
0	0.6561021086
1	0.6234441062
2	0.5960814671
3	0.5744865421
4	0.5575825242
5	0.5452523792
6	0.533788683
7	0.5217960093
8	0.5096245719
9	0.5024927458
10	0.4972228617
11	0.490134474
12	0.484462359
13	0.4797352468
14	0.4757478586
15	0.471343441
16	0.4675250635
17	0.4653106746
18	0.4620329165
19	0.460239522
20	0.4587680542
21	0.456368326
22	0.4543077604
23	0.4526802597
24	0.4520177312
25	0.449867964
26	0.4464596194
27	0.4454743178
28	0.4445150639
29	0.4433175638
30	0.4422673267
31	0.4408625834
32	0.4397805782
33	0.4383848531
34	0.4370919022
35	0.4354600613
36	0.4328829831
37	0.4318290226
38	0.4307054762
39	0.429862747
40	0.4287447086
41	0.4281973493
42	0.4273745557
43	0.4250696779
44	0.423396135
45	0.4231953378
46	0.4219551712
47	0.4205078857
48	0.4197619901
49	0.4190287781
50	0.4186443524
51	0.4159540018
52	0.4147007676
53	0.4140008236
54	0.4135305806
55	0.4127131043
56	0.4123153049
57	0.4119366368
58	0.410086945
59	0.4096104534
60	0.4081463613
61	0.4079240343
62	0.4058386819
63	0.4055670782
64	0.4051668776
65	0.4043591794
66	0.4033328451
67	0.402952554
68	0.4024100662
69	0.4019303471
70	0.4006946321
71	0.399765672
72	0.3993474436
73	0.3985478563
74	0.3981566399
75	0.3971976412
76	0.3963154034
77	0.3957466369
78	0.395103142
79	0.3941439459
80	0.3922018532
81	0.3919949107
82	0.3911394598
83	0.3908414748
84	0.3902447791
85	0.3896771938
86	0.3890870713
87	0.3878164194
88	0.3870576753
89	0.3856544248
90	0.3848176342
91	0.3838939708
92	0.3826496402
93	0.3819380158
94	0.3810299541
95	0.3800148828
96	0.3789899263
97	0.3782262237
98	0.3775137295
99	0.3767292021
100	0.3760704819
101	0.3755088034
102	0.3741015228
103	0.3730876188
104	0.3723863222
105	0.3714893984
106	0.3705715447
107	0.369805613
108	0.3691987855
109	0.3685608949
110	0.3676604139
111	0.3666327265
112	0.3654760951
113	0.3649592782
114	0.3644104776
115	0.3638687107
116	0.3628519279
117	0.3619589508
118	0.3615481934
119	0.3607836061
120	0.3599385254
121	0.3591314653
122	0.3582635756
123	0.3575021441
124	0.3566319197
125	0.3558526572
126	0.3552812658
127	0.3541668645
128	0.3533602115
129	0.3521807553
130	0.3512393433
131	0.3505375738
132	0.3493524127
133	0.3487704626
134	0.3482142117
135	0.3477917166
136	0.3473392465
137	0.3465138029
138	0.3459966488
139	0.3456081783
140	0.3449265741
141	0.3445332196
142	0.3435546956
143	0.3433418028
144	0.3425678315
145	0.3415230934
146	0.3407414162
147	0.3400754805
148	0.3396188266
149	0.3391420534
150	0.3387266568
151	0.3382126379
152	0.3377544638
153	0.3373371203
154	0.3365734276
155	0.335993786
156	0.3353039544
157	0.3348961064
158	0.3343402756
159	0.3336817527
160	0.3333295031
161	0.3329538916
162	0.3324442101
163	0.3319791848
164	0.3315904454
165	0.3310628439
166	0.3305363056
167	0.3300404681
168	0.3296410456
169	0.3291119341
170	0.3285566269
171	0.327912992
172	0.3272401504
173	0.3266691602
174	0.3258796844
175	0.3252212609
176	0.3247546994
177	0.3235598195
178	0.3229485058
179	0.3224370798
180	0.3219112584
181	0.3213521301
182	0.3209103009
183	0.3204249471
184	0.31994488
185	0.3194792564
186	0.3188898937
187	0.3183365969
188	0.3176881873
189	0.3172166127
190	0.3165356625
191	0.3161540921
192	0.3157421729
193	0.3153961529
194	0.3149097774
195	0.3145189427
196	0.3140434781
197	0.3137214703
198	0.3132891303
199	0.3128384611
200	0.312319743
201	0.3118471772
202	0.311234931
203	0.3109839877
204	0.3105390617
205	0.3100107057
206	0.3096692842
207	0.3092778557
208	0.3088633538
209	0.3083671431
210	0.3078152538
211	0.307364615
212	0.3069459955
213	0.3065011182
214	0.3060271282
215	0.3056347838
216	0.3052818838
217	0.3046969947
218	0.3043342785
219	0.3041378493
220	0.303696209
221	0.303248003
222	0.3026225637
223	0.302150217
224	0.3016942004
225	0.3014195601
226	0.3009333218
227	0.3006631055
228	0.3001694363
229	0.2996802306
230	0.2992644728
231	0.2987715155
232	0.2980136344
233	0.297732627
234	0.2973822597
235	0.2968776867
236	0.2964197615
237	0.296181705
238	0.2959495026
239	0.2953264489
240	0.2948125171
241	0.2943992879
242	0.294031836
243	0.2935787275
244	0.2929920858
245	0.2926752408
246	0.2923072177
247	0.291974309
248	0.2915549255
249	0.2911308431
250	0.2908350977
251	0.2904816907
252	0.2898939601
253	0.2894907815
254	0.2891004423
255	0.2886442526
256	0.2881966299
257	0.2878026782
258	0.2875189005
259	0.286862023
260	0.2864946219
261	0.2861567594
262	0.2858451702
263	0.2855631339
264	0.2851138705
265	0.2849322617
266	0.2845519778
267	0.2841326239
268	0.2838189556
269	0.2835232506
270	0.2831469723
271	0.2827511198
272	0.2823516223
273	0.2819914382
274	0.2816813434
275	0.2814273716
276	0.2810858079
277	0.280632949
278	0.2802807074
279	0.2800146607
280	0.2796384457
281	0.2793100302
282	0.2790402207
283	0.2786942121
284	0.2783757966
285	0.2778922773
286	0.2775840504
287	0.2771490461
288	0.2767896633
289	0.2766060666
290	0.2762008319
291	0.2757461161
292	0.2754912481
293	0.2751372186
294	0.2748468267
295	0.2744334139
296	0.2740371267
297	0.2735808098
298	0.2733286395
299	0.2728937901
