iter	Passed	Remaining
0	5	1651
1	9	1429
2	15	1497
3	20	1503
4	25	1505
5	30	1516
6	35	1469
7	39	1425
8	43	1415
9	48	1394
10	51	1360
11	56	1347
12	60	1339
13	64	1326
14	68	1309
15	73	1302
16	78	1302
17	82	1293
18	87	1298
19	92	1289
20	95	1272
21	99	1257
22	107	1290
23	112	1296
24	116	1282
25	124	1311
26	132	1337
27	136	1323
28	143	1344
29	148	1338
30	155	1353
31	159	1335
32	163	1325
33	170	1333
34	174	1322
35	179	1317
36	184	1309
37	188	1298
38	192	1288
39	196	1279
40	201	1272
41	206	1267
42	212	1272
43	218	1268
44	222	1260
45	226	1250
46	231	1243
47	235	1238
48	240	1230
49	244	1224
50	249	1217
51	254	1211
52	258	1203
53	262	1194
54	267	1193
55	272	1187
56	277	1181
57	281	1174
58	285	1165
59	289	1159
60	296	1162
61	301	1156
62	306	1153
63	312	1151
64	316	1145
65	321	1138
66	325	1132
67	330	1125
68	334	1119
69	338	1111
70	344	1110
71	348	1104
72	352	1097
73	357	1091
74	361	1085
75	366	1079
76	370	1074
77	375	1067
78	379	1061
79	383	1054
80	389	1051
81	393	1046
82	398	1040
83	402	1034
84	407	1030
85	411	1024
86	415	1017
87	419	1010
88	423	1004
89	428	999
90	432	992
91	435	984
92	439	978
93	443	971
94	447	966
95	452	961
96	455	954
97	460	948
98	464	942
99	468	936
100	473	932
101	477	926
102	480	919
103	484	912
104	488	908
105	493	902
106	497	896
107	501	891
108	505	886
109	509	880
110	513	874
111	517	868
112	521	862
113	524	856
114	528	850
115	533	846
116	539	843
117	543	838
118	548	833
119	553	829
120	558	825
121	562	821
122	567	816
123	571	811
124	575	806
125	580	802
126	585	797
127	589	791
128	594	788
129	599	783
130	604	779
131	609	775
132	621	780
133	626	775
134	631	771
135	635	766
136	639	760
137	643	755
138	648	751
139	653	746
140	657	741
141	663	737
142	667	732
143	671	727
144	676	723
145	681	718
146	685	713
147	688	707
148	692	701
149	696	696
150	700	691
151	704	685
152	708	680
153	713	675
154	717	670
155	721	665
156	725	660
157	728	655
158	732	649
159	737	644
160	741	640
161	745	635
162	749	629
163	752	624
164	757	619
165	760	614
166	763	608
167	767	603
168	771	597
169	775	592
170	779	587
171	782	582
172	786	577
173	793	574
174	798	570
175	805	567
176	809	562
177	814	558
178	820	554
179	824	549
180	829	545
181	836	542
182	846	541
183	854	538
184	862	536
185	868	532
186	875	528
187	879	524
188	885	520
189	893	517
190	900	514
191	905	509
192	909	504
193	913	499
194	917	494
195	921	489
196	925	484
197	930	479
198	934	474
199	938	469
200	943	464
201	948	460
202	953	455
203	958	451
204	963	446
205	967	441
206	972	436
207	977	432
208	982	427
209	987	423
210	992	418
211	997	414
212	1001	409
213	1008	405
214	1013	400
215	1018	396
216	1024	391
217	1028	387
218	1034	382
219	1038	377
220	1044	373
221	1049	368
222	1053	363
223	1057	358
224	1062	354
225	1071	350
226	1077	346
227	1081	341
228	1086	336
229	1090	331
230	1094	326
231	1099	322
232	1104	317
233	1109	312
234	1113	308
235	1117	302
236	1123	298
237	1127	293
238	1131	288
239	1136	284
240	1140	279
241	1144	274
242	1148	269
243	1152	264
244	1156	259
245	1160	254
246	1164	249
247	1168	244
248	1172	240
249	1176	235
250	1181	230
251	1185	225
252	1189	220
253	1193	216
254	1196	211
255	1200	206
256	1204	201
257	1208	196
258	1214	192
259	1219	187
260	1225	183
261	1230	178
262	1236	173
263	1240	169
264	1244	164
265	1249	159
266	1254	155
267	1259	150
268	1263	145
269	1268	140
270	1272	136
271	1278	131
272	1282	126
273	1287	122
274	1292	117
275	1296	112
276	1301	108
277	1306	103
278	1311	98
279	1315	93
280	1319	89
281	1323	84
282	1329	79
283	1333	75
284	1337	70
285	1342	65
286	1347	61
287	1352	56
288	1357	51
289	1361	46
290	1365	42
291	1368	37
292	1372	32
293	1376	28
294	1380	23
295	1384	18
296	1388	14
297	1393	9
298	1397	4
299	1400	0
